"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42358","1400.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42347","1500.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42348","1600.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42349","1700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42316","1800.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42350","1900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42318","2100.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42320","2400.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42322","2700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42324","3000.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42351","3300.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42352","3900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42353","500.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42343","600.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42354","700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42344","800.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42355","900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42377","1000.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42388","1100.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42378","1200.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42389","1300.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42390","1400.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42379","1500.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42380","1600.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42381","1700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42334","1800.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42382","1900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42336","2100.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42338","2400.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42340","2700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42342","3000.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42383","3300.0"
